SERIALNO,hhnum,PUMA,REGION,NP,NW,HHINCADJ,WGTP,HTYPE
2013000017554,169,00800,1,2,2,115011.4593,22,MH
2013000017707,170,01322,1,1,0,29682.08945,4,SF
2013000017799,171,01324,1,2,0,108852.0275,22,SF
2013000017823,172,01322,1,1,0,22088.9968,23,MH
2013000017872,173,01319,1,4,1,376999.705,25,SF
2013000017893,174,00500,1,2,2,23681.9533,4,SF
2013000018183,175,01320,1,1,1,50443.6225,8,SF
2013000018230,176,01303,1,2,2,39292.927,4,MF
2013000018339,177,01322,1,1,1,12743.652,16,MF
2013000018516,178,01302,1,2,1,38761.9415,18,MF
2013000018633,179,01305,1,1,1,76461.912,21,SF
2013000018648,180,00800,1,2,1,11787.8781,66,SF
2013000018744,181,01316,1,2,1,27611.246,24,SF
2013000018835,182,00705,1,1,0,17841.1128,6,MH
2013000018851,183,00705,1,1,0,11044.4984,12,SF
2013000018935,184,01200,1,2,2,52248.9732,4,SF
2013000019239,185,01105,1,4,1,21345.6171,15,SF
2013000019342,186,00705,1,2,2,74337.97,15,SF
2013000019509,187,01105,1,4,2,89205.564,30,SF
2013000019683,188,01319,1,2,2,180535.07,15,SF
2013000019835,189,01302,1,2,0,19115.478,11,SF
2013000019937,190,00902,1,2,0,21239.42,6,SF
2013000019976,191,00705,1,2,0,19858.8577,15,SF
2013000020007,192,01318,1,1,1,159295.65,91,MF
2013000020052,193,00100,1,2,0,2761.1246,40,MF
2013000020174,194,00400,1,1,0,3185.913,28,MH
2013000020220,195,00400,1,3,2,3292.1101,30,MF
2013000020647,196,01302,1,2,2,105984.7058,11,SF
2013000020719,197,00703,1,1,1,36107.014,12,SF
2013000020859,198,01318,1,2,2,63718.26,24,MF
2013000020959,199,00800,1,2,1,57346.434,12,MH
2013000021085,200,00600,1,5,2,99825.274,25,SF
2013000021586,201,01104,1,2,0,74337.97,15,MF
2013000021644,202,00705,1,6,2,62231.5006,42,DUP
2013000021720,203,00703,1,1,1,65842.202,16,MF
2013000021755,204,01104,1,4,1,81771.767,11,SF
2013000021767,205,00400,1,1,0,26761.6692,5,MF
2013000021776,206,01105,1,3,2,112462.7289,18,SF
2013000021803,207,00100,1,1,0,1274.3652,14,SF
2013000021853,208,00400,1,1,1,10725.9071,81,SF
2013000021913,209,00901,1,1,0,9026.7535,29,MH
2013000021969,210,00705,1,1,0,29841.3851,15,SF
2013000022117,211,00902,1,1,0,13274.6375,19,SF
2013000022259,212,01301,1,2,1,54160.521,8,SF
2013000022583,213,00200,1,1,0,11787.8781,20,SF
2013000022634,214,00500,1,2,2,37168.985,37,SF
2013000022651,215,00705,1,2,1,48319.6805,13,SF
2013000022716,216,01319,1,6,3,40354.898,56,MF
2013000022882,217,00901,1,1,0,0,21,MH
2013000022927,218,01322,1,2,2,108321.042,28,MF
2013000022931,219,01200,1,2,2,78585.854,7,SF
2013000023099,220,01200,1,2,0,85223.17275,44,SF
2013000023199,221,01301,1,3,2,93559.6451,8,SF
2013000023203,222,01320,1,2,2,115754.839,8,SF
2013000023204,223,01200,1,3,3,28354.6257,9,SF
2013000023232,224,01305,1,5,2,377849.2818,17,SF
2013000023501,225,01316,1,2,1,36956.5908,26,SF
2013000023617,226,00800,1,1,1,42478.84,14,SF
2013000023650,227,01320,1,4,2,39292.927,8,SF
2013000023709,228,00200,1,5,2,144428.056,19,SF
2013000023720,229,00704,1,2,2,58089.8137,30,MH
2013000023846,230,01323,1,3,2,65736.0049,14,SF
2013000023888,231,00600,1,1,1,50709.11525,11,MH
2013000024031,232,01305,1,1,0,29416.5967,27,SF
2013000024391,233,00704,1,1,0,258908.5298,22,SF
2013000024491,234,01324,1,1,1,25487.304,29,MF
2013000024679,235,00200,1,3,0,59364.1789,5,MH
2013000024892,236,00600,1,2,0,74656.5613,20,SF
2013000024932,237,01317,1,2,1,112568.926,14,SF
2013000024974,238,01319,1,2,2,49275.4544,24,MF
2013000024978,239,00704,1,2,0,44284.1907,13,SF
2013000025149,240,01319,1,1,1,48850.666,16,DUP
2013000025458,241,01301,1,2,0,45664.753,7,SF
2013000025473,242,01323,1,3,2,130410.0388,28,SF
2013000025697,243,01000,1,2,1,80401.82441,13,SF
2013000025986,244,00901,1,2,0,20389.8432,20,SF
2013000026459,245,01322,1,1,1,106621.8884,14,SF
2013000026656,246,01104,1,1,1,21027.0258,31,MF
2013000026661,247,01317,1,2,1,87081.622,13,SF
2013000026701,248,01302,1,4,3,103011.187,20,MH
2013000026713,249,01321,1,3,0,28460.8228,8,SF
2013000026755,250,00500,1,1,0,20389.8432,4,SF
2013000026824,251,00400,1,1,1,100887.245,87,SF
2013000027055,252,01316,1,2,2,40354.898,13,SF
2013000027115,253,01104,1,4,2,11044.4984,17,SF
2013000027199,254,00600,1,3,1,53098.55,11,SF
2013000027271,255,01324,1,2,0,79010.6424,19,SF
2013000027272,256,00705,1,1,0,26549.275,7,MH
2013000027463,257,00703,1,2,1,169055.16349,13,SF
2013000027550,258,01318,1,4,3,77555.74213,22,SF
2013000027579,259,01305,1,1,1,132746.375,42,SF
2013000027616,260,00300,1,2,0,46301.9356,14,SF
2013000027625,261,01318,1,2,2,79435.4308,16,MF
2013000027733,262,01301,1,1,1,18265.9012,45,DUP
2013000027748,263,01314,1,1,1,127436.52,14,SF
2013000028014,264,00901,1,2,1,96851.7552,22,SF
2013000028068,265,00100,1,2,2,63537.72493,3,MH
2013000028182,266,01105,1,4,2,90267.535,7,SF
2013000028456,267,00800,1,2,1,45452.3588,7,SF
2013000028472,268,01318,1,4,3,48362.15934,21,SF
2013000028582,269,01302,1,4,1,47792.942884,14,MF
2013000028642,270,00400,1,2,0,491586.3759,28,SF
2013000028653,271,01305,1,2,1,107365.2681,14,SF
2013000028676,272,01301,1,2,1,78373.4598,10,SF
2013000028751,273,01317,1,3,2,23363.362,13,SF
2013000028871,274,01200,1,1,0,14527.76328,25,MH
2013000028949,275,01316,1,2,2,138056.23,8,SF
2013000029198,276,00100,1,2,2,97701.332,44,SF
2013000029534,277,00400,1,2,2,109383.013,21,SF
2013000029599,278,01323,1,1,0,12998.52504,19,SF
2013000029817,279,01317,1,4,1,106728.0855,40,SF
2013000029823,280,01323,1,1,1,21239.42,20,MF
2013000029902,281,00800,1,2,1,112887.5173,71,SF
2013000030077,282,00902,1,1,0,9345.3448,17,MF
2013000030222,283,00300,1,3,3,79435.4308,39,SF
2013000030388,284,01322,1,1,1,29735.188,13,SF
2013000030515,285,00902,1,1,0,15186.1853,21,SF
2013000030583,286,00300,1,1,0,13487.0317,40,MF
2013000030820,287,01305,1,2,2,61912.9093,13,SF
2013000030825,288,01318,1,4,1,43647.0081,19,SF
2013000030971,289,00100,1,2,1,107577.6623,6,SF
2013000031046,290,01321,1,1,0,2017.7449,12,SF
2013000031093,291,01319,1,1,0,106197.1,22,SF
2013000031197,292,01103,1,2,2,77523.883,9,SF
2013000031325,293,00200,1,5,0,0,1,SF
2013000031358,294,01301,1,3,2,97913.7262,14,SF
2013000031397,295,01317,1,2,2,99825.274,14,SF
2013000031416,296,00200,1,5,2,55222.492,7,MH
2013000031504,297,00800,1,2,0,66723.63793,23,SF
2013000031552,298,00600,1,2,1,219297.0115,19,SF
2013000031559,299,01314,1,1,1,48532.0747,14,SF
2013000031644,300,01323,1,1,1,52036.579,23,SF
2013000031803,301,01200,1,2,0,55434.8862,5,SF
2013000032029,302,00902,1,1,0,21876.6026,14,MF
2013000032082,303,00703,1,1,0,8814.3593,49,MF
2013000032110,304,01322,1,2,1,228111.3708,12,SF
2013000032192,305,00200,1,5,1,31859.13,9,SF
2013000032311,306,00800,1,1,1,62656.289,14,SF
2013000032544,307,00705,1,1,0,19115.478,13,SF
2013000032571,308,01316,1,1,0,21027.0258,12,MF
2013000032590,309,01322,1,2,1,49912.637,26,SF
2013000032631,310,01316,1,2,2,91117.1118,20,SF
2013000033142,311,00703,1,2,2,87081.622,15,SF
2013000033220,312,00800,1,2,1,1592.9565,21,MH
2013000033259,313,01000,1,1,0,9132.9506,1,SF
2013000033272,314,01318,1,1,1,36107.014,13,MF
2013000033291,315,01103,1,2,0,79010.6424,16,SF
2013000033309,316,00704,1,2,1,22088.9968,13,SF
2013000033327,317,01318,1,2,2,72330.84481,17,SF
2013000033577,318,00500,1,2,2,51187.0022,23,SF
2013000033679,319,01320,1,2,1,26018.2895,16,MF
2013000033706,320,01105,1,1,1,42510.69913,7,SF
2013000033707,321,01318,1,2,2,76461.912,18,SF
2013000033731,322,01323,1,4,3,84957.68,13,SF
2013000033734,323,01319,1,1,0,27080.2605,22,SF
2013000033822,324,01303,1,1,0,2123.942,9,MF
2013000033824,325,00703,1,3,2,48001.0892,13,SF
2013000033963,326,00703,1,2,0,71152.057,11,SF
2013000034081,327,01301,1,2,2,20390.905171,16,SF
2013000034149,328,00902,1,2,0,21982.7997,26,SF
2013000034512,329,00901,1,1,0,48319.6805,24,MH
2013000034526,330,00600,1,2,2,115754.839,32,SF
2013000034606,331,01000,1,2,1,32496.3126,17,SF
2013000034633,332,00200,1,2,1,111506.955,2,SF
2013000034683,333,00600,1,1,0,67647.5527,30,SF
2013000034709,334,01319,1,2,2,108321.042,8,MF
2013000034926,335,01302,1,2,0,6371.826,54,SF
2013000034933,336,00800,1,4,1,377743.0847,21,SF
2013000034942,337,00704,1,3,3,33983.072,16,MF
2013000034964,338,00703,1,2,2,37275.1821,12,SF
2013000035029,339,00400,1,4,3,116179.6274,49,SF
2013000035083,340,00703,1,7,5,90904.7176,17,SF
2013000035114,341,01314,1,1,0,84214.3003,22,MF
2013000035179,342,00300,1,2,1,68284.7353,22,MH
2013000035197,343,00400,1,1,0,7646.1912,6,SF
2013000035329,344,00300,1,5,1,72745.0135,8,SF
2013000035424,345,01305,1,1,0,3185.913,35,MF
2013000035515,346,01303,1,1,0,9451.5419,25,SF
2013000035630,347,00705,1,2,1,108321.042,6,SF
2013000035801,348,01200,1,1,0,63718.26,13,SF
2013000035877,349,00902,1,4,2,111931.7434,67,SF
2013000036076,350,00100,1,2,1,58514.6021,12,SF
2013000036230,351,01302,1,1,1,10301.1187,25,MF
2013000036301,352,01314,1,3,2,76100.84186,17,SF
2013000036337,353,00703,1,5,2,47788.695,23,SF
2013000036424,354,01000,1,2,0,32708.7068,18,SF
2013000036430,355,00400,1,2,2,215049.1275,15,SF
2013000036508,356,00100,1,2,2,127521.47768,9,SF
2013000036853,357,01314,1,1,0,33027.2981,50,MF
2013000036856,358,00500,1,1,1,26018.2895,8,SF
2013000037224,359,00705,1,2,0,116179.6274,15,SF
2013000037293,360,01324,1,1,1,31859.13,19,MF
2013000037332,361,00300,1,2,1,80815.9931,22,SF
