SERIALNO,PUMA5,HWEIGHT,UNITTYPE,PERSONS,BLDGSZ,HINC
18840,1803,26,0,1,9,17300
18848,1802,26,0,1,8,32450
18892,1500,13,0,0,1,0
19037,1100,6,0,1,2,24500
19063,1500,3,0,2,2,59000
19116,601,20,0,3,2,144200
19118,601,15,0,4,1,30600
19121,1005,6,0,2,2,103300
19167,500,17,0,2,2,120800
19212,1702,26,0,4,2,126370
19233,1805,32,0,2,2,113300
19249,2007,18,0,5,2,180500
19260,601,26,0,7,2,30910
19331,602,26,0,1,7,16800
19367,100,29,0,3,2,38000
19396,1300,6,0,3,3,32200
19439,2007,20,0,0,2,0
19620,1300,8,0,6,2,11700
19664,1402,26,0,2,8,5000
19674,2006,20,0,3,2,115970
20084,2001,23,0,1,9,85200
20137,1202,26,0,2,2,66100
20147,1600,3,0,4,1,94000
20244,902,23,0,3,2,40500
20297,2004,21,0,2,2,111000
20325,1401,23,0,1,8,9500
20462,1100,6,0,5,2,65000
20464,1600,20,0,3,1,22000
20561,1401,6,0,4,5,36460
20683,2002,18,0,2,6,60000
20690,1500,6,0,1,1,25500
20712,400,3,0,0,2,0
20799,2003,29,0,1,9,25000
20835,1004,23,0,4,2,42000
20893,1802,0,2,1,  ,0
20992,1404,0,2,1,  ,0
21072,200,26,0,1,2,24000
21136,1004,20,0,4,1,22000
21200,1001,17,0,2,2,73350
21270,1005,12,0,5,2,116600
21393,2001,20,0,2,2,57000
21402,1100,26,0,3,3,57050
21428,400,10,0,0,1,0
21566,601,29,0,4,2,89000
21663,1100,5,0,2,2,45800
21803,300,15,0,2,1,79500
21874,700,26,0,2,4,49070
22204,400,9,0,2,2,69600
22344,400,9,0,2,2,40120
22560,2005,23,0,2,2,13500
22697,1805,24,0,1,7,33200
22723,1005,35,0,1,1,38000
22745,1201,9,0,4,2,35000
22755,1804,15,0,2,2,130200
22912,300,14,0,2,2,34700
22961,700,0,2,1,  ,0
23121,2200,26,0,3,2,73200
23136,1404,23,0,2,2,53300
23180,1803,20,0,1,2,10000
23372,1201,18,0,1,6,23500
23463,1300,24,0,2,2,19000
23490,700,0,1,1,  ,0
23570,2002,6,0,4,2,473000
23670,1300,12,0,4,5,14260
23709,1805,20,0,3,6,13920
23778,2002,29,0,2,2,228170
23849,1003,24,0,2,5,47400
23869,1404,0,1,1,  ,0
23935,500,35,0,1,2,30000
23980,300,23,0,3,1,33000
24095,2101,23,0,2,2,160000
24125,1100,20,0,1,1,30000
24214,2200,21,0,2,4,20800
24217,2003,26,0,1,2,36000
24265,1004,0,1,1,  ,0
24327,500,24,0,2,2,66020
24347,1402,32,0,2,2,68200
24464,1002,26,0,3,2,131750
24466,800,23,0,2,6,15070
24498,2002,20,0,4,2,66920
24552,1404,0,2,1,  ,0
24623,700,9,0,2,2,43000
24732,300,29,0,8,2,20900
24744,2004,27,0,0,6,0
24896,1404,35,0,6,2,113500
24921,1005,20,0,4,2,50000
25020,1600,8,0,2,2,35430
25102,1403,33,0,0,7,0
25181,800,26,0,3,2,47200
25306,2101,26,0,2,9,32300
25357,300,20,0,1,2,6800
25384,1100,6,0,2,1,97300
25414,601,17,0,6,2,54400
25473,1802,26,0,2,6,14400
25535,602,17,0,1,2,0
25537,602,17,0,2,2,29700
25569,1701,29,0,1,2,35600
25577,1500,6,0,3,2,17200
25596,1300,14,0,2,2,60000
25683,400,0,2,1,  ,0
25784,200,17,0,1,2,32000
25873,602,32,0,4,2,59050
25891,1005,32,0,1,9,8400
25929,700,12,0,1,6,20300
26059,2004,17,0,0,6,0
26152,902,26,0,4,2,57080
26191,800,32,0,3,2,78600
26197,800,29,0,1,9,16900
26233,1100,27,0,0,2,0
26270,901,26,0,2,2,31610
26290,1500,17,0,3,2,440
26321,500,20,0,4,2,131680
26365,1404,26,0,3,2,70550
26379,1802,20,0,6,2,86600
26388,2003,23,0,3,2,49100
26412,400,6,0,2,2,50000
26440,2200,21,0,4,2,88000
26550,1500,23,0,1,8,11200
26560,2200,24,0,1,2,50600
26654,2002,20,0,2,2,120000
26760,1500,29,0,2,1,31200
26822,200,14,0,6,2,66200
26894,1100,8,0,1,2,25300
26997,1801,26,0,2,2,33900
27202,200,0,2,1,  ,0
27245,1100,7,0,0,2,0
27285,1801,11,0,2,7,49000
27373,1801,20,0,3,4,47800
27434,1900,17,0,2,8,54500
27533,2005,40,0,4,6,19614
27580,300,27,0,0,7,0
27613,1202,18,0,3,2,101100
27644,1005,9,0,2,2,44800
27758,100,29,0,4,2,90540
27759,1401,20,0,4,7,63000
27879,602,6,0,4,2,64000
27951,800,20,0,1,1,21300
27983,1805,9,0,5,7,38400
27987,300,12,0,3,1,19560
28057,601,20,0,2,5,9800
28159,1802,23,0,2,2,60000
28312,2005,20,0,5,2,84000
28316,1300,34,0,1,9,14100
28455,200,20,0,1,1,19400
28528,1900,10,0,0,2,0
28548,1403,0,1,1,  ,0
28570,2200,0,1,1,  ,0
28607,1702,20,0,1,4,20600
28640,2009,26,0,2,2,56000
28649,1002,26,0,4,2,199220
28664,2005,20,0,3,2,23100
28679,1404,29,0,5,2,45000
28697,1300,29,0,4,2,22000
28715,2009,15,0,5,2,204700
28731,1900,23,0,2,4,9200
28842,1500,12,0,5,2,115408
28861,400,15,0,1,2,18900
28876,2008,26,0,3,5,55000
28905,200,9,0,2,2,3500
28928,2001,29,0,4,2,99000
28945,1100,17,0,1,4,27000
28970,200,23,0,1,2,68000
29096,200,23,0,2,2,256400
29180,1404,21,0,6,2,80000
29210,1001,21,0,2,5,9900
29240,2003,0,1,1,  ,0
29311,1005,9,0,4,2,76200
29334,300,26,0,6,2,26000
29345,2001,26,0,1,1,31000
29363,1005,21,0,6,2,85540
29565,1402,49,0,0,8,0
29575,1300,0,2,1,  ,0
29634,602,26,0,3,2,85100
29655,1805,18,0,1,8,100000
29844,300,23,0,1,2,18490
29984,2007,31,0,4,6,23200
29999,500,20,0,1,7,7600
30021,700,14,0,4,1,186390
30065,1801,21,0,1,2,31000
30144,1402,23,0,2,2,54600
30234,2003,29,0,1,2,10000
30251,200,17,0,2,2,27570
30277,500,24,0,0,6,0
30306,2008,26,0,2,2,88300
30384,2004,29,0,2,1,47760
30400,700,29,0,2,2,15300
30424,901,17,0,2,1,25700
30511,2002,23,0,2,7,41500
30524,1803,0,2,1,  ,0
30528,1001,37,0,3,3,59000
30610,1201,26,0,2,2,11540
30617,1803,0,2,1,  ,0
30639,1702,29,0,3,2,78000
30658,1100,18,0,2,2,150000
30748,200,23,0,0,2,0
30805,2005,0,1,1,  ,0
30881,500,20,0,1,2,75000
30921,1402,26,0,2,2,102600
30949,100,20,0,4,2,42000
30995,1900,32,0,2,2,34200
31187,1500,10,0,0,2,0
31323,1100,26,0,3,2,33790
31429,1600,21,0,2,1,36700
31430,1801,17,0,5,2,125900
31431,400,17,0,4,2,22500
31440,1300,0,2,1,  ,0
31604,1004,17,0,2,2,97000
31653,1404,14,0,2,1,43000
31745,1404,26,0,5,2,62120
31796,2007,26,0,3,8,3400
32293,901,0,2,1,  ,0
32361,1002,23,0,2,2,68700
32407,2009,20,0,3,2,59600
32427,1500,20,0,1,2,36630
32436,1004,23,0,2,1,48200
32585,602,20,0,5,2,200560
32671,100,29,0,2,2,74100
32727,1803,44,0,2,2,176040
32865,1500,17,0,3,2,26590
33010,700,23,0,1,5,4000
33029,1300,9,0,7,2,7300
33086,1600,15,0,2,2,29000
33088,1500,26,0,0,2,0
33191,1500,14,0,5,2,67000
33244,700,6,0,3,2,37300
33309,1804,17,0,1,2,93200
33507,700,20,0,1,2,6000
33520,300,21,0,1,1,21680
33790,1402,15,0,1,2,11400
34102,2009,18,0,3,2,178500
34150,901,23,0,6,2,45000
34191,1802,23,0,2,9,13600
34281,902,23,0,3,1,75000
34323,1402,23,0,10,2,65400
34370,1001,32,0,2,7,38000
34455,1701,8,0,1,2,70000
34611,300,24,0,3,1,217700
34671,1100,29,0,7,1,61700
34762,1402,26,0,2,4,60400
34818,1202,13,0,0,2,0
35038,300,5,0,2,2,85030
35048,2007,20,0,2,2,61000
35114,1401,9,0,1,2,4390
35136,1100,17,0,0,2,0
35463,2003,23,0,2,3,58700
35666,1100,11,0,2,1,39000
35740,1402,23,0,2,2,47000
35800,1001,20,0,4,5,9100
35804,2002,32,0,3,2,75000
35833,700,0,2,1,  ,0
35856,1500,14,0,4,2,25520
35896,400,5,0,2,1,47500
35926,200,21,0,3,1,46400
35929,1702,17,0,5,2,43000
36059,1802,26,0,1,7,2500
36178,1804,26,0,4,2,369300
36275,1500,6,0,2,2,45800
36360,300,29,0,2,2,60000
36373,400,6,0,8,1,15000
36409,2200,20,0,1,2,24000
36414,2002,20,0,4,2,518000
36417,2003,20,0,5,2,71940
36621,2003,23,0,1,2,130000
36773,400,11,0,3,1,10300
36825,1500,6,0,2,2,50500
37091,1805,32,0,1,7,0
37108,1600,17,0,1,1,25020
37109,2101,32,0,2,2,69500
37130,1900,20,0,1,9,29100
37392,1701,14,0,3,2,42000
37423,1803,28,0,1,9,12000
37427,1202,0,1,1,  ,0
37459,2002,23,0,2,2,161300
37476,1005,23,0,2,2,71100
37692,500,20,0,2,2,105800
37750,901,27,0,0,2,0
37761,2200,26,0,7,2,37700
37971,1005,23,0,1,8,16150
38053,2006,23,0,6,2,92050
38188,1600,24,0,2,2,26800
38220,901,17,0,2,2,42000
38329,1201,6,0,2,2,27014
38356,1801,23,0,2,9,70180
38390,1500,35,0,5,2,60360
38470,2101,20,0,2,2,47650
38471,1403,17,0,0,2,0
38494,2200,23,0,4,2,73600
38543,2007,11,0,1,7,5500
38601,2002,14,0,2,2,200000
38632,1005,29,0,2,2,104080
38688,100,20,0,0,4,0
38822,2008,23,0,2,2,40000
38837,901,52,0,6,2,16000
38915,1300,23,0,0,9,0
38918,1804,29,0,3,3,257050
39073,2002,23,0,1,8,29500
39089,1005,23,0,0,2,0
39152,2005,17,0,1,2,36000
39293,1802,21,0,3,5,23400
39319,901,24,0,6,1,69000
39386,2008,6,0,3,2,30000
39709,700,6,0,4,2,32300
39749,2008,14,0,2,2,86500
39858,2006,23,0,2,9,9200
40065,500,0,1,1,  ,0
40066,1500,14,0,2,1,47100
40072,2200,21,0,1,3,105500
40132,100,26,0,1,2,5000
40414,400,6,0,1,1,0
40653,400,6,0,1,2,24600
40659,2009,26,0,2,2,336000
40892,1804,29,0,1,7,60400
40976,601,20,0,2,1,31300
41102,300,23,0,1,3,126400
41223,400,6,0,6,2,18200
41331,1100,9,0,1,6,10000
41364,2004,26,0,4,5,23600
41449,2001,23,0,2,8,43000
41456,1600,14,0,1,3,10000
41493,1702,29,0,3,2,82580
41632,1600,17,0,2,2,57400
41649,2008,26,0,1,2,38800
41689,1100,20,0,1,2,176900
41711,2001,32,0,2,4,85000
41856,1001,20,0,2,7,45800
41981,1801,20,0,2,2,47200
42042,901,23,0,1,2,16000
42080,1805,38,0,6,4,38000
42099,1404,23,0,2,2,88000
42110,1002,23,0,2,2,131500
42144,1805,23,0,1,2,9600
42171,602,17,0,1,7,8400
42203,1300,26,0,3,5,20590
42264,1803,15,0,1,2,37400
42383,300,32,0,1,7,29000
42414,2003,29,0,2,2,113260
42480,1600,7,0,0,5,0
42692,1201,21,0,1,6,0
42759,2007,35,0,3,2,59900
42839,1803,24,0,1,2,55000
42983,200,20,0,2,1,36000
43051,2005,14,0,4,2,74000
43339,1802,23,0,1,2,55100
43440,1403,23,0,1,7,26400
43478,800,20,0,2,2,2620
43709,700,12,0,1,1,35000
43746,901,23,0,2,2,36000
43760,300,6,0,1,2,138100
43869,1500,12,0,4,2,53000
43994,1100,9,0,2,2,23100
43998,1300,6,0,3,2,11700
44085,500,26,0,1,5,17500
44086,1803,31,0,3,6,34000
44104,2006,23,0,1,5,19030
44209,500,21,0,6,2,51360
44367,2101,24,0,2,2,52500
44482,1402,26,0,2,1,37900
44525,901,21,0,2,1,55000
44595,2002,0,2,1,  ,0
44752,1403,20,0,1,2,12000
44931,2002,23,0,2,2,69400
44990,1001,17,0,3,4,94600
45040,901,14,0,9,2,49040
45088,901,21,0,2,2,67360
45095,901,9,0,5,2,105600
45107,1001,0,2,1,  ,0
45193,1300,6,0,5,2,58800
45309,1002,35,0,2,2,95600
45347,602,14,0,2,2,38000
45709,1900,20,0,3,2,135000
45753,1201,0,1,1,  ,0
45831,700,20,0,1,4,49500
45949,400,6,0,1,2,55000
46004,1600,17,0,1,2,20000
46150,1001,14,0,3,2,52400
46206,1100,9,0,2,2,36500
46289,2006,15,0,2,2,47700
46302,1300,14,0,0,3,0
46418,1500,17,0,3,2,83400
46623,300,8,0,4,2,49000
46637,500,0,2,1,  ,0
46644,901,27,0,0,2,0
46657,500,21,0,1,8,30000
