Geo,Year,AveHhSize,Prop1PerHh
3,2040,2.633330886,0.204296493
4,2040,2.607347364,0.203142676
5,2040,2.180420063,0.31184714
6,2040,2.113890311,0.356289766
7,2040,2.111411809,0.395928455
8,2040,1.633504549,0.561146203
9,2040,2.207956027,0.342954407
10,2040,2.035620014,0.406176345
11,2040,2.402441069,0.341073238
12,2040,2.645338759,0.244889495
13,2040,2.840196183,0.180384293
14,2040,2.877654267,0.15320554
15,2040,2.60368312,0.26440667
16,2040,2.557825453,0.259174542
17,2040,2.481275342,0.282358156
18,2040,2.566901434,0.247005391
19,2040,2.29220066,0.35461333
20,2040,2.712754311,0.213568749
1,2045,2.741642291,0.210149627
2,2045,2.35182903,0.309941202
3,2045,2.633330886,0.203106868
4,2045,2.607347364,0.20313947
5,2045,2.180420063,0.310649181
6,2045,2.113890311,0.357651024
7,2045,2.111411809,0.398318506
8,2045,1.633504549,0.558696036
9,2045,2.207956027,0.343701714
10,2045,2.035620014,0.407405997
11,2045,2.402441069,0.341925966
12,2045,2.645338759,0.245011561
13,2045,2.840196183,0.178160832
14,2045,2.877654267,0.152344217
15,2045,2.60368312,0.265426257
16,2045,2.557825453,0.259443548
17,2045,2.481275342,0.281679928
18,2045,2.566901434,0.247192723
19,2045,2.29220066,0.354699542
20,2045,2.712754311,0.212676048
1,2050,2.728733924,0.209642418
2,2050,2.342436005,0.310123775
3,2050,2.622158922,0.201856506
4,2050,2.596857422,0.203133048
5,2050,2.175720543,0.309357003
6,2050,2.104226929,0.359015569
7,2050,2.097880617,0.40075363
8,2050,1.636830145,0.556154627
9,2050,2.198842369,0.344451102
10,2050,2.027590108,0.408658442
11,2050,2.388733697,0.342813573
12,2050,2.632639014,0.24513659
13,2050,2.834877605,0.175863845
14,2050,2.870218511,0.151514793
15,2050,2.589726729,0.266488985
16,2050,2.544307854,0.259758929
17,2050,2.472227313,0.280923307
18,2050,2.553358585,0.247449515
19,2050,2.282734964,0.354782311
20,2050,2.701245529,0.211756386
